sub,day,condition,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
0,day1,jhana,1,1,1.5,2,0,0,0,,0,0,0,0,0,,10,,,,,,,,8.57797,80,80,8.28744125,2,2
0,day1,mindfulness,1,2,,,,,,,,,,,,,,7,5,5,9,0,0,7,7.80177,,80,,7,6
0,day2,jhana,2,2,8,4,,,,,,,,,,,8,,,,,,,,7.95944,,80,,4,4
0,day2,mindfulness,2,1,,,,,,,,,,,,,,6,3,5,2,0,0,8,8.37795,,80,,6,4.5
0,day3,jhana,1,1,,4,,,,,,,,,,,8,,,,,,,,7.94771,,80,,4,4
0,day3,mindfulness,1,2,,,,,,,,,,,,,,3,3,3,3,0,0,2,8.6011,,80,,3,3
0,day4,jhana,2,2,,6,,,,,6,,,,,,5,,,,,,,,8.42984,,80,,6,6
0,day4,mindfulness,2,1,,,,,,,,,,,,,,6,2,3,3,0,0,5,8.60375,,80,,6,4
1,day1,jhana,1,1,5,7,6,4,4,1,7,7,7,7,1,2,1,,,,,,,,7.43549,59,59,7.4271725,7,4
1,day1,mindfulness,1,2,,,,,,,,,,,,,,7,6,2,1,0,0,4,7.06404,,59,,7,6.5
1,day2,jhana,2,2,8,6,6,,,4.5,8,8,,,3,,7,,,,,,,,7.19053,,59,,6,5.25
1,day2,mindfulness,2,1,,,,,,,,,,,,,,7,7,6,8,0,0,5,7.11586,,59,,7,7
1,day3,jhana,1,1,5,3,3,3,3,2,5,5,5,7,6,3,5,,,,,,,,6.76958,,59,,3,2.5
1,day3,mindfulness,1,2,,,,,,,,,,,,,,7,4,5,3,0,0,8,7.744,,59,,7,5.5
1,day4,jhana,2,2,,5,6,5,6,3,7.5,8,8,8,6,,3.5,,,,,,,,7.71663,,59,,5,4
1,day4,mindfulness,2,1,,,,,,,,,,,,,,7,5,6,6,0,0,6,8.38125,,59,,7,6
2,day1,jhana,1,2,6,7,8,8,9,5,8,8,8,9,6,4,7,,,,,,,,7.1741,69,69,6.86663625,7,6
2,day1,mindfulness,1,1,,,,,,,,,,,,,,9,7,3,4,0,0,7,6.44828,,69,,9,8
2,day2,jhana,2,1,7,8,8,7,8,7,7,7,8,9,7,4,6,,,,,,,,7.2671,,69,,8,7.5
2,day2,mindfulness,2,2,,,,,,,,,,,,,,8,5,7,7,0,0,7,7.38778,,69,,8,6.5
2,day3,jhana,1,2,7,9,9,8,8,7,7,7,8,8,,4,7,,,,,,,,6.77479,,69,,9,8
2,day3,mindfulness,1,1,,,,,,,,,,,,,,8,6,6,7,0,0,4,6.47792,,69,,8,7
2,day4,jhana,2,1,8.5,8,8,8,9,7,6,7,7,8,6,4,4,,,,,,,,6.76268,,69,,8,7.5
2,day4,mindfulness,2,2,,,,,,,,,,,,,,7,6,5,6,0,0,6,6.64044,,69,,7,6.5
3,day1,jhana,1,2,1,0,2,1,2,0,1,2,1,1,0,4,10,,,,,,,,8.33433,74,74,8.31567875,0,0
3,day1,mindfulness,1,1,,,,,,,,,,,,,,2,2,7,7,0,0,8,8.87163,,74,,2,2
3,day2,jhana,2,1,3,0,1,2,3,1,2,3,4,3,2,4,2,,,,,,,,8.07414,,74,,0,0.5
3,day2,mindfulness,2,2,,,,,,,,,,,,,,6,3,2,2,0,0,6,7.90535,,74,,6,4.5
3,day3,jhana,1,2,6,2,3,4,4,2,2,3,4,4,2,3,9,,,,,,,,8.2915,,74,,2,2
3,day3,mindfulness,1,1,,,,,,,,,,,,,,5,3,6,6,0,0,5,8.63654,,74,,5,4
3,day4,jhana,2,1,7,2,4,5,4,0,1,2,2,2,0,3,9,,,,,,,,8.37142,,74,,2,1
3,day4,mindfulness,2,2,,,,,,,,,,,,,,2,1,3,3,0,0,8,8.04052,,74,,2,1.5
4,day1,jhana,2,1,3,5,5,6,5,0,2,2,3,,1,1,4.5,,,,,,,,7.42374,114.5,114.5,7.40503375,5,2.5
4,day1,mindfulness,2,2,,,,,,,,,,,,,,6,6,5,5,1,0,3.5,7.151,,114.5,,6,6
4,day2,jhana,1,2,5,6,5,7,7,4,5,5,6,7,,,1.5,,,,,,,,8.20621,,114.5,,6,5
4,day2,mindfulness,1,1,,,,,,,,,,,,,,8,7,8,8,0,0,1.5,7.07907,,114.5,,8,7.5
4,day3,jhana,2,1,7,5,6,6,9,,5,5,6,8,6,4,1,,,,,,,,7.21696,,114.5,,5,5
4,day3,mindfulness,2,2,,,,,,,,,,,,,,9,8.5,8,7.5,1,0,0.5,7.09764,,114.5,,9,8.75
4,day4,jhana,1,2,,,6,6,8,7,8,8,7,8,7,4,0.5,,,,,,,,7.50135,,114.5,,0,7
4,day4,mindfulness,1,1,,,,,,,,,,,,,,7,4,7,1,0,0,1,7.5643,,114.5,,7,5.5
5,day1,jhana,2,1,,5,6,6,8,5,5,5,5,7,5,4,5,,,,,,,,8.70553,111,111,8.65554875,5,5
5,day1,mindfulness,2,2,,,,,,,,,,,,,,5,5,2,2,0,0,3,7.75343,,111,,5,5
5,day2,jhana,1,2,,8,6,6,7,,5,5,5,6,6,4,5,,,,,,,,8.01473,,111,,8,8
5,day2,mindfulness,1,1,,,,,,,,,,,,,,6,4,3,3,0,0,4,8.50694,,111,,6,5
5,day3,jhana,2,1,,6,7,8,9,9,5,5,7,7,7,4,6,,,,,,,,9.04134,,111,,6,7.5
5,day3,mindfulness,2,2,,,,,,,,,,,,,,3,3,2,1,0,0,3,8.86944,,111,,3,3
5,day4,jhana,1,2,,7,7,9,9,,6,6,7,7,6,4,,,,,,,,,9.15459,,111,,7,7
5,day4,mindfulness,1,1,,,,,,,,,,,,,,5,4,2,2,0,0,4,9.19839,,111,,5,4.5
6,day1,jhana,2,1,3,5,5,5,4,4,5,5,5,4,2.5,3,5,,,,,,,,8.3006,52,52,8.347085,5,4.5
6,day1,mindfulness,2,2,,,,,,,,,,,,,,8,7,6,4,0,0,3,8.60949,,52,,8,7.5
6,day2,jhana,1,2,8,6,7,7,,,8,8,8,,,3,3,,,,,,,,8.42147,,52,,6,6
6,day2,mindfulness,1,1,,,,,,,,,,,,,,8,5,8,5,0,0,3,8.61821,,52,,8,6.5
6,day3,jhana,2,1,5,7,7,6,7,7,8,8,6,8,,4,1.5,,,,,,,,7.53217,,52,,7,7
6,day3,mindfulness,2,2,,,,,,,,,,,,,,8,6,7,4,0,0,5,8.5357,,52,,8,7
6,day4,jhana,1,2,8,9,9,9,7.5,7,8.5,8.5,8.5,8,8,3.5,2.5,,,,,,,,8.17663,,52,,9,8
6,day4,mindfulness,1,1,,,,,,,,,,,,,,9,8.5,8,7,0,0,3,8.58241,,52,,9,8.75
7,day1,jhana,2,1,8,4,4,4,5.5,3.5,4,4,5,6,3.5,4,8,,,,,,,,7.9877,58,58,8.47616,4,3.75
7,day1,mindfulness,2,2,,,,,,,,,,,,,,7,4,0,0,0,0,7,8.02454,,58,,7,5.5
7,day2,jhana,1,2,10,8,7,8,8,5.5,6,7,6,7,4.5,4,5,,,,,,,,8.42613,,58,,8,6.75
7,day2,mindfulness,1,1,,,,,,,,,,,,,,8,6,4,2,0,0,5.5,8.44916,,58,,8,7
7,day3,jhana,2,1,10,7,6.5,7,8,7,4,4,5,7,,4,3,,,,,,,,8.91713,,58,,7,7
7,day3,mindfulness,2,2,,,,,,,,,,,,,,2,3,0,0,0,0,2,8.29421,,58,,2,2.5
7,day4,jhana,1,2,10,7,8,8,7.5,6.5,4,6.5,6.5,7,,4,3.5,,,,,,,,8.71603,,58,,7,6.75
7,day4,mindfulness,1,1,,,,,,,,,,,,,,3.5,2.5,1,0,0,0,6.7,8.99438,,58,,3.5,3
8,day1,jhana,1,2,,7,5,,,5,6,,,,,1,3,,,,,,,,6.9532,66,66,7.90395875,7,6
8,day1,mindfulness,1,1,,,,,,,,,,,,,,8,6,4,6,0,0,6,8.0116,,66,,8,7
8,day2,jhana,2,2,,8,9,,,8,7,8,,,,,2,,,,,,,,7.90165,,66,,8,8
8,day2,mindfulness,2,1,,,,,,,,,,,,,,9,7,2,1,0,0,6,8.28605,,66,,9,8
8,day3,jhana,1,2,,6,6,,,,5,6,,,,2,1,,,,,,,,7.51016,,66,,6,6
8,day3,mindfulness,1,1,,,,,,,,,,,,,,9,7,4,3,0,0,6,7.94653,,66,,9,8
8,day4,jhana,2,1,,1,2,,,,6,7,,,,2,2,,,,,,,,8.48303,,66,,1,1
8,day4,mindfulness,2,2,,,,,,,,,,,,,,6,4,2,1,0,0,6,8.13945,,66,,6,5
9,day1,jhana,1,2,7,4,5,7,,5.5,2,2,4,,3,3,2,,,,,,,,7.69075,51,51,8.0372975,4,4.75
9,day1,mindfulness,1,1,,,,,,,,,,,,,,6,4,2,1,0,0,8,7.73661,,51,,6,5
9,day2,jhana,2,1,,3,4,3,,,1,2,4,,2,,4,,,,,,,,8.15819,,51,,3,3
9,day2,mindfulness,2,2,,,,,,,,,,,,,,,,1,0,0,0,4,8.164,,51,,0,
9,day3,jhana,1,2,8,4,,,,5,,,,,,1,5,,,,,,,,8.09032,,51,,4,4.5
9,day3,mindfulness,1,1,,,,,,,,,,,,,,8,,1.5,0,0,0,5,8.40437,,51,,8,8
9,day4,jhana,1,1,4,4,5,6,6,4,2,2,3,4,4,4,,,,,,,,,7.87727,,51,,4,4
9,day4,mindfulness,1,2,,,,,,,,,,,,,,9,2,0,0,0,0,9,8.17687,,51,,9,5.5
10,control,control,,,,,,,,,,,,,,,,6,7,2,3,0,0,2,,51,51,,,
11,control,control,,,,,,,,,,,,,,,,6,5,7,5,0,0,5,,41,41,,,
12,control,control,,,,,,,,,,,,,,,,8,8,8,8,8,6,1,,99,99,,,
13,control,control,,,,,,,,,,,,,,,,8,,6,0,0,0,,,59,59,,,
14,control,control,,,,,,,,,,,,,,,,6,1,0,0,0,0,10,,48,48,,,
15,control,control,,,,,,,,,,,,,,,,8.5,7,4.5,10,0,0,10,,78.5,78.5,,,
16,control,control,,,,,,,,,,,,,,,,6,1,7,0,0,0,9,,56,56,,,
17,control,control,,,,,,,,,,,,,,,,7,5.5,5,3.5,0,0,7,,78,78,,,
18,control,control,,,,,,,,,,,,,,,,8,6,0,1,0,0,2,,64,64,,,
19,control,control,,,,,,,,,,,,,,,,6,7,0,0,1,1,2,,64,64,,,
20,control,control,,,,,,,,,,,,,,,,9,6,4,2,0,0,5,,59,59,,,
21,control,control,,,,,,,,,,,,,,,,8,6,8,6,0,0,6,,65,65,,,
22,control,control,,,,,,,,,,,,,,,,9,3,5,0,1,0,9,,93,93,,,
0,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.06744,,,,,
1,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.3912,,,,,
2,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.35031,,,,,
3,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.8296,,,,,
4,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.79196,,,,,
5,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,8.38516,,,,,
6,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.84934,,,,,
7,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.45015,,,,,
8,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.08303,,,,,
9,,ltp-pre,,,,,,,,,,,,,,,,,,,,,,,7.96135,,,,,
0,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.65858,,,,,
1,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.55374,,,,,
2,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,6.40068,,,,,
3,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.43235,,,,,
4,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.54261,,,,,
5,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.98668,,,,,
6,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.35041,,,,,
7,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.91989,,,,,
8,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,8.15799,,,,,
9,,ltp-post,,,,,,,,,,,,,,,,,,,,,,,7.80576,,,,,